"Nomenclature","ReporterISO3","ProductCode","ReporterName","PartnerISO3","PartnerName","Year","TradeFlowName","TradeFlowCode","TradeValue in 1000 USD","ProductDescription","Quantity","NetWeight in KGM"
"H4","HUN","0207","Hungary","LVA","Latvia",2018,"Import",5,74.69,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","MLT","Malta",2018,"Export",6,206.166,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","MLT","Malta",2018,"Import",5,3.866,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","NLD","Netherlands",2018,"Export",6,7377.388,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","NLD","Netherlands",2018,"Import",5,11439.085,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","POL","Poland",2018,"Export",6,5833.888,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","POL","Poland",2018,"Import",5,46476.69,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","PRT","Portugal",2018,"Export",6,1452.984,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","PRT","Portugal",2018,"Import",5,26.678,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","ROM","Romania",2018,"Export",6,57133.418,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","ROM","Romania",2018,"Import",5,8954.831,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","SVK","Slovak Republic",2018,"Export",6,41216.446,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","SVK","Slovak Republic",2018,"Import",5,17587.436,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","SVN","Slovenia",2018,"Export",6,10020.152,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","SVN","Slovenia",2018,"Import",5,3037.17,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","SWE","Sweden",2018,"Export",6,200.158,"Meat and edible offal, of the poult",0,0
"H4","HUN","0207","Hungary","SWE","Sweden",2018,"Import",5,153.701,"Meat and edible offal, of the poult",0,0
"H4","HUN","1001","Hungary","AUT","Austria",2018,"Export",6,83359.547,"Wheat and meslin.",0,0
"H4","HUN","1001","Hungary","AUT","Austria",2018,"Import",5,1560.275,"Wheat and meslin.",0,0
